dataset,elapsed_time_iqtree,elapsed_time_ebg,elapsed_time_alrt,num_seq,len,elapsed_time_inference,elapsed_time_sbs,msa_size,elapsed_time_ebg_inf,isDNA
9972_0,170,12,157,28,759,1,22,21252,13,1
11712_1,191,18,175,102,854,9,265,87108,27,1
25256_23,238,10,239,10,269,0,3,2690,10,1
26669_46,204,11,207,19,505,0,6,9595,11,1
14151_0,232,11,237,7,559,0,3,3913,11,1
688_1,215,12,213,12,756,0,3,9072,12,1
15639_0,176,16,181,33,1867,1,17,61611,17,1
16632_2,199,10,192,17,486,0,6,8262,10,1
16141_1,232,10,230,9,464,0,3,4176,10,1
14232_0,186,14,195,19,1496,0,7,28424,14,1
16269_0,219,12,215,20,483,0,6,9660,12,1
18638_1,151,14,159,24,1554,0,25,37296,14,1
20944_1,201,21,165,83,1649,17,370,136867,38,1
11032_4,184,15,173,15,4936,2,6,74040,17,1
22091_1,169,21,171,62,2291,41,202,142042,62,1
17443_0,470,40,402,175,2559,89,2275,447825,129,1
17761_0,175,16,178,44,1119,1,28,49236,17,1
10169_2,219,15,212,69,417,2,52,28773,17,1
15021_7,230,11,228,42,173,1,23,7266,12,1
17814_0,183,16,171,62,655,4,70,40610,20,1
17594_13,189,14,187,76,396,6,100,30096,20,1
19925_0,151,19,152,55,2152,3,78,118360,22,1
10703_5,229,11,227,20,560,0,6,11200,11,1
18448_0,404,43,320,207,2001,75,1959,414207,118,1
16637_2,210,13,208,30,682,1,12,20460,14,1
11768_1,189,14,180,55,475,2,42,26125,16,1
15427_0,174,16,164,45,1241,2,38,55845,18,1
26212_1,249,42,247,94,6459,19,1103,607146,61,1
14833_4,161,28,173,72,4464,7,188,321408,35,1
18438_0,197,14,204,15,2466,0,7,36990,14,1
25284_1,189,15,173,56,691,2,46,38696,17,1
10714_0,167,55,174,90,8910,10,535,801900,65,1
19447_0,209,11,205,17,609,0,7,10353,11,1
10568_0,172,26,152,88,2857,9,227,251416,35,1
12165_2,253,28,208,173,1140,32,941,197220,60,1
23535_1,232,27,169,107,2328,13,417,249096,40,1
10580_0,1825,151,1476,242,9657,288,15137,2336994,439,1
