dataset,diff
24325_2,0.02
12748_0,0.13
20014_1,0.41
15355_1,0.16
12627_0,0.52
28000_9,0.46
11972_0,0.36
19171_12,0.47
19311_0,0.05
14010_2,0.15
12005_0,0.56
16473_7,0.03
21611_0,0.11
20706_1,0.54
14534_18,0.2
19110_0,0.52
19466_3,0.15
14534_30,0.0
14437_0,0.14
16743_0,0.37
14287_1,0.62
14704_0,0.63
18077_0,0.58
11705_2,0.07
25829_0,0.49
10830_1,0.16
15125_2,0.41
20133_0,0.66
24137_1,0.58
19528_2,0.02
21068_0,0.69
16275_2,0.09
19985_0,0.61
18775_0,0.8
17621_1,0.55
20137_1,0.51
17360_0,0.7
12369_0,0.5
16298_0,0.22
20946_2,0.53
18062_7,0.55
15442_4,0.77
14807_1,0.16
16807_1,0.28
14349_1,0.01
23280_0,0.59
21800_0,0.31
14151_5,0.57
11241_1,0.44
19280_3,0.21
10701_2,0.1
599_2,0.28
17262_0,0.2
16033_0,0.58
26169_0,0.57
20595_0,0.11
21024_0,0.08
13548_1,0.03
24385_1,0.05
10017_0,0.05
27883_0,0.22
10629_0,0.68
20987_10,0.0
25286_0,0.41
23227_0,0.1
276_0,0.0
11880_0,0.57
19528_0,0.25
18202_26,0.55
27321_0,0.67
23121_0,0.13
10611_6,0.72
19410_0,0.0
