dataset,difficulty
23089_1,0.6
23629_1,0.66
28000_5,0.42
11804_0,0.45
10535_0,0.7
22396_0,0.01
13159_1,0.05
14299_3,0.77
12434_0,0.5
20987_7,0.02
422_0,0.04
26639_0,0.18
21061_0,0.66
12959_2,0.63
11181_4,0.46
16203_28,0.14
19198_1,0.14
588_0,0.27
11097_0,0.1
25487_1,0.48
25394_1,0.35
15925_0,0.72
12868_3,0.5
23183_0,0.06
11469_0,0.36
23815_0,0.63
28000_8,0.17
25155_2,0.01
22091_2,0.07
10158_1,0.63
15964_2,0.51
12780_0,0.33
13724_1,0.79
11662_9,0.54
14038_2,0.03
11036_0,0.85
18347_7,0.06
27216_1,0.62
14807_1,0.18
13460_0,0.36
16761_2,0.45
12469_0,0.18
23202_0,0.43
17581_1,0.55
15331_1,0.01
25435_0,0.32
25818_2,0.06
18685_0,0.02
10189_0,0.41
10701_14,0.27
10117_3,0.39
11355_0,0.26
23356_1,0.44
20109_8,0.64
11705_4,0.01
28180_0,0.19
26669_20,0.28
13478_0,0.22
20701_0,0.26
26404_9,0.61
11487_5,0.69
13713_0,0.57
14150_1,0.3
10979_0,0.06
15071_0,0.32
10309_0,0.61
23479_1,0.47
16236_4,0.37
12555_1,0.03
18492_3,0.7
23200_1,0.17
13977_0,0.29
21048_0,0.21
25454_0,0.48
14038_12,0.13
26615_0,0.53
10286_4,0.59
19389_2,0.0
25298_3,0.0
13748_0,0.05
11284_0,0.2
27950_0,0.62
14616_1,0.19
26669_25,0.39
21507_0,0.42
14616_0,0.15
25284_0,0.3
23718_0,0.77
10701_11,0.21
15388_0,0.31
12518_0,0.57
10122_0,0.2
23706_0,0.0
20382_10,0.49
11662_14,0.67
15549_0,0.42
13947_1,0.78
25003_0,0.5
16203_5,0.23
13972_1,0.58
13423_3,0.62
12410_11,0.0
20041_0,0.65
18202_108,0.3
553_4,0.04
13228_0,0.61
2374_2,0.63
16710_0,0.12
15019_2,0.36
10106_1,0.16
12738_1,0.64
10863_0,0.57
16203_0,0.12
10031_1,0.64
15511_0,0.48
16600_4,0.34
19264_3,0.7
10334_0,0.55
21599_8,0.88
17235_10,0.52
10632_9,0.0
18638_5,0.75
18828_0,0.59
23068_0,0.27
17056_0,0.39
13424_1,0.05
11994_0,0.26
26444_0,0.1
12431_0,0.07
21273_3,0.03
26119_0,0.17
19048_3,0.77
19749_1,0.13
12225_0,0.68
11161_0,0.23
21114_1,0.37
19055_6,0.39
20848_2,0.36
10286_1,0.0
422_1,0.14
10401_0,0.45
20288_1,0.12
14193_0,0.73
20987_14,0.0
25647_8,0.58
24390_1,0.56
14974_1,0.21
14718_1,0.28
14945_18,0.62
13315_0,0.48
11418_3,0.5
2199_5,0.0
19724_0,0.13
21206_0,0.05
23655_1,0.57
14141_2,0.36
13672_3,0.11
14636_0,0.11
19019_3,0.22
20028_0,0.28
15894_0,0.6
19443_0,0.27
10400_2,0.6
10423_0,0.54
16418_3,0.09
25155_0,0.41
14609_7,0.7
16027_1,0.06
19768_0,0.51
12173_2,0.07
13073_0,0.36
17112_1,0.14
10094_1,0.13
11452_3,0.54
18202_76,0.46
23885_0,0.08
13778_6,0.3
18347_6,0.22
23489_1,0.32
11918_0,0.6
16629_0,0.14
22751_4,0.29
16416_0,0.07
24385_4,0.12
12414_0,0.35
12614_0,0.09
12155_0,0.08
10059_1,0.17
10706_0,0.18
665_0,0.0
16275_1,0.17
19074_1,0.35
20385_0,0.01
20277_0,0.2
20782_1,0.22
10857_0,0.21
14402_0,0.55
2241_0,0.51
23751_0,0.12
12400_2,0.45
26539_0,0.21
12340_1,0.66
20389_0,0.2
17935_3,0.0
654_0,0.02
26628_3,0.3
2233_0,0.43
13808_3,0.67
22397_4,0.19
16275_2,0.16
20129_0,0.48
26984_0,0.8
12823_0,0.09
15100_0,0.17
16453_5,0.0
15503_0,0.19
15864_2,0.32
14534_22,0.02
10709_0,0.41
683_4,0.03
14444_1,0.52
18513_0,0.34
18955_0,0.02
26550_0,0.72
21422_0,0.25
16676_0,0.25
19731_1,0.59
12492_0,0.37
10174_1,0.6
21615_6,0.02
16525_0,0.1
20775_4,0.48
15391_1,0.19
21973_7,0.83
570_0,0.09
10059_0,0.62
15415_3,0.1
20336_0,0.51
25209_1,0.15
12336_1,0.13
12103_0,0.19
10021_0,0.37
11252_0,0.22
14534_16,0.01
22087_1,0.33
18387_0,0.2
18913_0,0.31
11404_1,0.4
10035_0,0.53
11264_0,0.69
12465_0,0.42
24325_5,0.07
19003_0,0.48
20306_0,0.58
16941_0,0.56
15755_0,0.62
16855_1,0.59
20823_1,0.13
27596_31,0.49
20930_0,0.06
20040_1,0.45
14142_0,0.62
26888_0,0.2
18303_0,0.06
16625_0,0.26
9965_0,0.32
18638_19,0.26
16543_1,0.58
13356_2,0.65
11800_1,0.21
9982_1,0.59
12213_1,0.31
17154_2,0.14
10972_1,0.04
16171_0,0.37
12324_4,0.63
10632_1,0.0
10225_1,0.53
20628_1,0.37
17303_1,0.0
19201_0,0.51
12822_2,0.18
25433_2,0.35
10317_0,0.65
19201_1,0.56
11181_0,0.4
14213_0,0.07
12200_0,0.17
14995_1,0.5
15672_0,0.6
19389_1,0.02
27931_0,0.21
11269_6,0.49
15893_0,0.24
10292_0,0.08
9983_1,0.56
25465_3,0.07
20383_0,0.68
18703_0,0.2
13647_1,0.0
14182_0,0.46
16175_0,0.04
18363_1,0.17
12551_0,0.38
10360_0,0.06
13609_1,0.02
27076_0,0.25
14125_1,0.3
18971_14,0.43
12268_0,0.31
23585_0,0.22
23108_0,0.32
23808_0,0.32
15020_0,0.33
17840_1,0.38
11112_6,0.12
12410_16,0.43
10547_0,0.7
16046_0,0.46
17883_0,0.62
17942_0,0.52
15522_2,0.42
21024_5,0.56
25812_0,0.15
18202_93,0.23
10270_2,0.7
20544_2,0.72
14534_29,0.14
22114_4,0.86
20049_2,0.0
20548_1,0.0
20079_2,0.61
10159_0,0.08
14401_0,0.6
12288_3,0.62
14571_2,0.52
25298_1,0.02
18003_0,0.6
14497_4,0.15
27596_16,0.49
19665_2,0.01
16153_2,0.33
15858_6,0.79
12598_1,0.18
13306_1,0.59
20239_2,0.56
9980_1,0.56
292_0,0.03
20550_0,0.3
688_1,0.26
10149_0,0.16
12687_0,0.24
25547_0,0.41
14312_7,0.53
13385_0,0.48
12410_15,0.49
371_0,0.5
17580_0,0.07
10238_1,0.43
15950_1,0.54
16439_0,0.45
23717_0,0.38
10267_5,0.39
20288_0,0.3
14078_3,0.58
16780_0,0.18
13654_6,0.03
18202_78,0.22
26160_0,0.76
17068_0,0.47
25286_2,0.44
13828_0,0.16
12677_1,0.63
13715_2,0.38
20429_1,0.02
18202_103,0.25
14595_2,0.25
25696_0,0.06
25791_0,0.29
15393_0,0.1
18347_10,0.04
20846_0,0.5
25647_0,0.75
16630_0,0.59
2177_0,0.46
14395_0,0.24
2210_0,0.24
21886_6,0.03
14941_2,0.61
26351_1,0.41
20987_0,0.02
17668_0,0.33
11178_2,0.48
16453_3,0.4
26106_0,0.43
12265_1,0.64
11286_0,0.17
14177_0,0.26
12122_1,0.55
10568_0,0.33
13356_10,0.68
18202_97,0.3
10267_2,0.26
13658_0,0.71
16318_1,0.69
10195_1,0.0
15043_1,0.19
11303_1,0.69
19396_1,0.32
11181_1,0.16
14183_1,0.59
27098_1,0.78
16886_1,0.45
11779_0,0.08
14017_1,0.43
13424_0,0.22
21820_1,0.44
12826_0,0.22
13118_0,0.6
20727_3,0.21
11784_0,0.05
20382_4,0.68
10669_0,0.25
11662_1,0.59
24057_0,0.41
19757_0,0.02
27350_1,0.39
19365_0,0.08
10740_0,0.42
22105_2,0.15
20706_2,0.53
15265_1,0.56
17840_5,0.38
15631_4,0.58
15713_0,0.59
12709_0,0.56
19731_5,0.28
9983_4,0.21
19769_0,0.11
702_1,0.11
27276_2,0.06
11695_0,0.24
10327_0,0.53
23358_0,0.27
14724_0,0.5
10295_0,0.63
22507_0,0.6
22198_1,0.11
22036_0,0.52
10267_0,0.46
12689_15,0.11
12991_0,0.19
16079_1,0.49
13806_0,0.42
19198_0,0.26
19563_0,0.23
17235_8,0.65
20293_0,0.59
11905_0,0.35
12042_0,0.44
23483_1,0.44
28053_0,0.17
21156_0,0.43
378_8,0.13
12233_5,0.7
10493_0,0.06
19764_0,0.51
27892_0,0.07
16392_0,0.37
26169_0,0.3
11582_2,0.6
27596_12,0.64
26774_0,0.74
15767_1,0.73
14419_1,0.41
18971_16,0.18
25262_1,0.66
11662_6,0.67
11297_4,0.0
14433_2,0.48
21121_0,0.56
15161_13,0.11
14822_0,0.15
21603_1,0.51
12410_9,0.6
372_0,0.3
21234_0,0.02
13859_0,0.52
26145_0,0.61
21368_1,0.36
18171_0,0.19
9996_1,0.32
13995_1,0.31
16453_2,0.0
18638_2,0.51
13356_11,0.67
20114_1,0.59
14026_0,0.17
16659_9,0.54
10457_0,0.0
17774_5,0.49
10101_0,0.52
12855_6,0.65
13424_2,0.63
23227_2,0.45
16878_1,0.22
12551_2,0.48
13715_3,0.34
10313_0,0.15
19544_0,0.49
17170_0,0.6
12410_40,0.48
24194_2,0.73
23953_0,0.41
25414_1,0.56
11078_3,0.62
16834_1,0.56
15565_0,0.17
701_0,0.52
23594_1,0.31
20987_1,0.1
13990_4,0.01
13340_0,0.16
10903_0,0.0
16416_1,0.29
20544_4,0.77
23497_1,0.34
12066_0,0.6
18638_9,0.28
13520_0,0.16
18880_3,0.75
21917_0,0.01
10109_0,0.41
10238_0,0.25
26988_19,0.37
12093_2,0.14
10492_0,0.39
25465_4,0.71
13423_2,0.4
14462_1,0.07
16392_1,0.36
18314_0,0.43
18971_3,0.38
10228_0,0.08
15625_2,0.38
21804_0,0.21
18909_0,0.2
22147_0,0.1
19031_0,0.55
11468_1,0.58
21599_1,0.76
12343_0,0.23
27370_0,0.49
24335_0,0.15
17932_0,0.35
19055_5,0.02
20218_0,0.67
18012_7,0.65
18638_11,0.11
14469_1,0.43
21934_2,0.43
22022_1,0.54
15731_2,0.49
11985_1,0.04
12759_0,0.27
15738_1,0.83
11178_23,0.41
15865_0,0.01
11269_9,0.2
23768_0,0.3
20723_0,0.19
18540_0,0.01
26703_0,0.23
24999_0,0.62
14279_1,0.49
12539_1,0.07
15722_0,0.14
12855_0,0.54
10260_1,0.17
16145_1,0.52
23576_0,0.46
22022_5,0.27
21807_2,0.51
611_1,0.0
21254_4,0.33
13808_0,0.73
11910_2,0.04
16436_1,0.34
22998_0,0.45
18917_1,0.55
26919_2,0.18
26956_0,0.4
10901_1,0.0
568_1,0.31
11395_4,0.54
21874_8,0.0
10701_23,0.21
10635_2,0.64
2227_1,0.16
15260_0,0.58
16493_0,0.12
16253_0,0.64
12523_0,0.04
15211_0,0.04
19296_0,0.08
10295_1,0.69
15391_0,0.25
20495_0,0.59
21973_10,0.83
11906_0,0.39
22621_1,0.79
16634_4,0.49
13815_3,0.37
596_0,0.33
15070_1,0.64
14534_28,0.04
17643_5,0.01
18465_1,0.05
14643_2,0.57
12868_2,0.49
10148_2,0.37
18638_14,0.49
21114_0,0.42
21896_0,0.52
12400_1,0.02
20848_1,0.04
19897_0,0.1
11635_0,0.5
17774_4,0.49
20968_0,0.36
14543_0,0.32
22622_0,0.08
19505_1,0.04
23111_0,0.49
23436_0,0.55
26395_0,0.32
11949_0,0.73
18347_2,0.05
18422_0,0.53
13713_1,0.54
10809_0,0.42
18405_1,0.54
9971_0,0.2
21807_4,0.19
11658_0,0.02
15849_2,0.43
15125_0,0.36
11582_3,0.37
26628_10,0.48
11863_4,0.4
10286_0,0.04
22399_4,0.29
18900_0,0.04
13668_0,0.46
13914_2,0.06
19509_1,0.34
15334_0,0.55
25372_2,0.01
17935_5,0.01
24024_0,0.63
11916_1,0.36
22087_2,0.37
12579_1,0.44
15355_4,0.5
17390_1,0.46
14283_0,0.57
22997_0,0.27
27484_0,0.45
21389_1,0.32
21888_0,0.66
19714_4,0.34
14991_0,0.07
18062_4,0.68
14078_1,0.0
10014_0,0.38
11662_2,0.4
10303_1,0.09
15157_0,0.32
26784_1,0.68
17052_0,0.41
12093_9,0.03
16507_4,0.77
13726_0,0.56
13034_0,0.6
12868_4,0.65
2234_5,0.27
11216_1,0.05
19157_0,0.64
18427_0,0.03
19251_1,0.2
27596_23,0.26
21620_0,0.59
19048_0,0.42
9983_2,0.51
14022_2,0.47
18638_8,0.75
21525_0,0.36
14553_1,0.57
12393_0,0.77
17143_0,0.46
17362_0,0.13
11908_1,0.2
2180_1,0.62
597_0,0.33
18095_0,0.14
16007_1,0.27
10400_7,0.05
21999_0,0.5
18292_2,0.54
20497_4,0.18
11452_2,0.59
10162_0,0.06
15849_6,0.52
26793_1,0.09
11474_0,0.71
13805_3,0.07
14349_1,0.12
15161_15,0.16
2178_1,0.38
15601_0,0.18
11391_3,0.17
11167_1,0.71
15099_0,0.53
14177_1,0.54
14595_3,0.25
22810_0,0.45
15758_4,0.04
19516_0,0.59
20219_0,0.62
17450_0,0.07
2234_4,0.13
14219_2,0.6
18808_11,0.02
560_1,0.48
14615_1,0.49
11235_4,0.15
25818_1,0.11
16730_0,0.58
26669_47,0.64
10169_2,0.65
11444_2,0.66
18212_0,0.17
20136_5,0.08
9957_2,0.21
11178_4,0.45
10701_20,0.34
22005_2,0.45
10502_0,0.1
16298_1,0.43
19714_21,0.63
27325_3,0.44
28930_2,0.07
585_5,0.0
17791_2,0.2
20420_0,0.17
20926_0,0.19
22397_7,0.51
10504_0,0.51
23648_0,0.71
12336_4,0.55
10047_1,0.44
14038_9,0.07
19074_3,0.26
18872_8,0.45
27404_1,0.26
27709_1,0.45
22998_1,0.26
22065_0,0.64
19925_7,0.39
25040_5,0.48
9968_0,0.36
10086_1,0.47
11090_0,0.71
17580_5,0.18
12644_7,0.43
27325_9,0.91
11105_2,0.73
16046_1,0.45
23291_0,0.59
21213_0,0.02
678_0,0.66
27174_0,0.49
16439_2,0.57
15964_3,0.57
10086_0,0.17
11611_1,0.41
15666_0,0.2
21198_1,0.76
10016_0,0.26
14106_1,0.38
22021_1,0.49
15125_2,0.16
21486_1,0.56
16032_12,0.02
19949_1,0.57
15070_5,0.72
26988_15,0.2
22788_0,0.4
22070_0,0.46
17263_0,0.41
11210_0,0.45
21995_1,0.23
18173_2,0.11
16600_3,0.38
22998_3,0.59
16909_0,0.58
11415_0,0.14
20273_0,0.15
19392_3,0.48
27325_5,0.58
10031_0,0.66
17851_1,0.33
19714_41,0.61
11974_0,0.11
11974_1,0.46
12056_0,0.5
26988_12,0.55
16884_2,0.25
27855_0,0.46
25268_0,0.69
23166_0,0.76
23439_3,0.54
12630_1,0.27
10059_2,0.02
12748_0,0.03
21964_0,0.31
10684_2,0.15
26579_3,0.31
16754_0,0.12
12145_0,0.11
12717_2,0.54
18202_86,0.18
14354_12,0.77
670_0,0.38
18953_0,0.22
16236_0,0.78
10859_3,0.08
20415_1,0.06
23719_0,0.53
14945_0,0.65
16203_1,0.23
14314_1,0.66
26749_0,0.06
28391_4,0.03
11297_6,0.03
14923_1,0.24
2202_1,0.31
15070_4,0.31
13715_4,0.02
14117_0,0.19
18202_85,0.21
27216_0,0.51
14391_3,0.61
690_0,0.11
18971_8,0.38
20382_6,0.44
14915_1,0.3
15509_0,0.25
19714_6,0.0
15232_2,0.71
15522_1,0.09
14782_2,0.15
21615_0,0.19
11223_0,0.36
15415_12,0.55
14534_21,0.02
11477_1,0.04
18285_0,0.3
21695_0,0.01
17392_0,0.25
17615_0,0.51
11382_2,0.38
16203_4,0.53
16267_3,0.73
16366_0,0.11
25351_0,0.55
10701_2,0.1
27949_0,0.57
15228_1,0.26
10550_1,0.55
21776_0,0.16
12668_0,0.17
16488_1,0.14
21620_1,0.67
27126_0,0.5
17154_6,0.57
27298_0,0.07
11014_0,0.51
12229_0,0.24
10963_0,0.16
16731_0,0.04
16957_0,0.57
26669_17,0.21
20997_0,0.24
19731_3,0.59
10075_1,0.59
10582_1,0.03
17947_0,0.01
18883_0,0.36
12410_17,0.59
23436_3,0.55
13712_2,0.58
19074_2,0.09
16354_0,0.34
19509_0,0.34
12950_0,0.05
10231_1,0.41
15783_0,0.57
23884_0,0.22
9986_0,0.41
21419_0,0.25
15162_3,0.47
13908_2,0.25
688_0,0.12
14685_0,0.38
16300_3,0.43
19714_11,0.07
20157_0,0.23
27596_26,0.57
10072_4,0.58
13548_1,0.07
11362_3,0.07
17144_1,0.51
23514_0,0.06
10890_0,0.3
11266_0,0.19
26628_2,0.35
26669_18,0.59
661_0,0.05
559_1,0.08
10027_0,0.36
20524_0,0.2
21063_0,0.03
25383_2,0.65
15515_2,0.59
23108_3,0.17
16032_8,0.02
26590_0,0.29
21441_0,0.29
27037_6,0.51
22441_0,0.47
20706_1,0.54
18202_35,0.32
18808_7,0.03
17935_6,0.0
15281_1,0.0
22760_0,0.41
18704_0,0.33
14888_3,0.05
13712_6,0.51
13538_0,0.18
26639_2,0.21
28000_4,0.1
9996_0,0.49
17128_0,0.12
10009_2,0.62
2251_5,0.27
11404_2,0.5
22283_0,0.07
11314_1,0.65
20436_0,0.72
23249_2,0.58
21450_0,0.67
16238_7,0.69
14616_3,0.55
21251_0,0.57
26669_16,0.02
17303_2,0.41
12650_2,0.48
14421_3,0.3
10024_0,0.37
11410_0,0.03
27192_0,0.01
25396_0,0.57
26628_5,0.3
12667_0,0.46
2222_1,0.35
22609_0,0.44
11088_0,0.38
15706_0,0.7
17840_3,0.03
11611_0,0.74
26919_1,0.19
18202_95,0.22
20109_9,0.32
16950_3,0.43
10080_3,0.2
12410_4,0.48
26669_36,0.55
19296_1,0.27
27596_10,0.24
20711_2,0.66
340_0,0.26
14781_2,0.25
20268_0,0.5
17264_3,0.17
11132_1,0.55
14876_2,0.42
22942_1,0.57
11274_1,0.44
20518_1,0.0
10608_0,0.04
19270_0,0.72
18202_79,0.32
24036_0,0.54
10984_1,0.44
11269_0,0.0
18303_3,0.08
18638_15,0.48
12835_0,0.63
15062_3,0.18
14923_0,0.48
20801_0,0.45
20518_0,0.27
12118_0,0.04
15969_1,0.15
18400_1,0.02
11183_2,0.38
18685_1,0.01
10579_1,0.56
12315_0,0.23
28391_3,0.13
26362_9,0.16
11946_0,0.35
13327_0,0.79
10289_0,0.1
14433_1,0.62
16238_9,0.47
2163_0,0.08
26628_6,0.33
12594_2,0.68
27276_0,0.1
20014_1,0.69
16731_2,0.02
27537_0,0.15
13812_1,0.46
18962_3,0.53
19281_0,0.08
14312_4,0.35
19104_0,0.71
19413_0,0.42
14772_0,0.37
12358_0,0.06
16527_0,0.23
21599_7,0.76
11105_1,0.51
10006_0,0.56
16594_0,0.64
18314_2,0.57
10025_0,0.61
13583_3,0.6
15484_0,0.43
21120_2,0.48
11576_0,0.6
17372_0,0.06
20848_3,0.49
10206_0,0.1
11575_2,0.31
553_0,0.24
17829_0,0.23
15019_1,0.18
11132_0,0.53
22546_0,0.4
12770_0,0.5
23089_0,0.58
22397_2,0.35
10938_0,0.11
10632_12,0.01
15395_0,0.08
19744_2,0.06
27274_0,0.52
18218_0,0.25
2247_0,0.45
26628_0,0.68
20952_1,0.49
18281_1,0.71
27579_1,0.27
10267_1,0.39
19304_0,0.02
15002_0,0.02
13227_0,0.65
11535_4,0.63
10224_1,0.16
16189_1,0.0
19801_0,0.23
21631_0,0.09
13107_0,0.39
27321_0,0.58
20001_0,0.46
24325_1,0.65
19316_1,0.54
22385_0,0.12
19335_0,0.65
18971_7,0.52
14753_0,0.0
11800_0,0.24
21451_0,0.55
21338_0,0.5
27888_0,0.22
18872_1,0.65
17621_3,0.6
11451_0,0.12
10556_0,0.27
16238_4,0.27
18131_0,0.01
27909_0,0.47
14469_0,0.0
26444_1,0.4
28930_3,0.09
10963_1,0.2
12715_0,0.44
21594_4,0.07
15214_0,0.16
19505_2,0.36
21874_4,0.01
14833_4,0.58
702_0,0.48
12721_2,0.11
12763_0,0.13
16032_14,0.04
22621_0,0.07
21650_0,0.03
14772_1,0.65
25829_2,0.64
20864_0,0.22
26669_46,0.29
12324_2,0.8
19714_26,0.41
27536_0,0.59
26253_0,0.5
14614_0,0.19
13843_1,0.66
10636_1,0.65
10541_2,0.51
23630_2,0.64
378_7,0.07
12354_1,0.18
26362_5,0.2
653_0,0.09
15355_3,0.05
15631_1,0.36
16007_0,0.62
10270_5,0.09
11487_3,0.75
15464_0,0.71
25615_0,0.34
20817_1,0.65
15311_0,0.69
12288_0,0.69
10590_0,0.07
20597_0,0.52
10445_0,0.14
26585_1,0.48
14759_1,0.66
20682_1,0.49
12226_0,0.3
22397_0,0.41
20064_0,0.65
12083_1,0.22
10297_0,0.31
11225_1,0.62
18808_6,0.02
10803_0,0.27
14422_0,0.68
24238_1,0.35
23439_1,0.48
12730_1,0.24
27596_20,0.59
11061_0,0.04
20516_0,0.07
12336_5,0.27
19280_0,0.15
19254_0,0.01
22344_0,0.15
26988_2,0.14
19055_3,0.42
20626_0,0.38
20544_0,0.8
11378_1,0.4
11490_1,0.22
19116_0,0.43
18337_3,0.04
9932_0,0.49
18202_87,0.19
10016_1,0.3
12103_2,0.08
25607_4,0.43
18694_0,0.64
17679_0,0.33
25411_0,0.07
10612_0,0.34
10270_3,0.7
21677_0,0.78
14472_0,0.08
2218_0,0.29
14915_2,0.44
12410_33,0.38
25000_1,0.41
21097_0,0.47
11863_0,0.54
14643_0,0.44
16418_0,0.61
16238_2,0.24
11453_0,0.53
10180_1,0.23
28000_10,0.47
21620_3,0.11
25607_2,0.52
13808_1,0.3
10481_0,0.45
17935_2,0.01
23006_0,0.41
569_3,0.05
25209_0,0.12
10863_4,0.56
14283_2,0.59
18062_3,0.26
23526_0,0.51
20782_0,0.42
20930_3,0.27
14827_1,0.22
20944_1,0.43
24076_0,0.27
16019_0,0.35
23829_3,0.35
19582_0,0.31
21802_0,0.42
10701_4,0.36
15822_0,0.73
15019_5,0.54
14354_3,0.81
11126_3,0.3
20365_0,0.35
714_0,0.59
17947_1,0.63
14219_3,0.38
12868_1,0.48
11665_0,0.15
14022_5,0.51
12650_0,0.37
11041_1,0.46
21797_1,0.41
16516_0,0.78
13703_1,0.76
10319_0,0.05
18062_8,0.32
26053_0,0.39
18974_1,0.61
12724_1,0.45
28121_0,0.36
420_1,0.0
18206_13,0.19
13584_0,0.15
26749_1,0.17
25571_0,0.48
26980_0,0.32
10200_2,0.62
19712_1,0.62
20401_0,0.66
10477_0,0.29
23052_0,0.13
11014_1,0.77
28078_1,0.51
11790_0,0.57
13478_1,0.57
13712_5,0.53
25102_1,0.54
12434_3,0.48
14504_2,0.44
21665_0,0.05
26988_5,0.09
10271_5,0.25
10943_11,0.64
23885_1,0.57
2163_1,0.21
21888_3,0.04
17924_0,0.04
13945_1,0.41
559_0,0.27
15503_2,0.22
20094_1,0.73
13318_1,0.13
16246_0,0.02
11216_2,0.06
27681_0,0.0
18872_5,0.67
22114_3,0.39
2227_0,0.19
26639_1,0.18
10504_2,0.12
15602_0,0.0
27785_0,0.54
16527_1,0.04
13960_0,0.17
15849_4,0.31
17887_0,0.09
11560_0,0.23
26988_7,0.17
20219_1,0.35
14185_0,0.52
19762_0,0.43
12207_0,0.21
18474_2,0.27
16659_3,0.6
18974_3,0.14
18750_0,0.43
24385_3,0.1
14919_0,0.35
17701_0,0.63
13908_1,0.38
22560_0,0.03
13577_0,0.01
11439_0,0.6
27988_2,0.71
19714_7,0.61
11178_19,0.13
18917_0,0.06
378_6,0.32
15318_0,0.52
16929_0,0.63
21700_1,0.41
2246_1,0.32
13399_0,0.47
26988_1,0.29
18060_0,0.69
10632_11,0.02
10400_8,0.46
27000_3,0.06
18113_22,0.19
18202_98,0.41
15080_1,0.6
12569_0,0.67
26669_43,0.52
645_1,0.26
22871_0,0.13
18202_89,0.28
10678_0,0.48
26232_1,0.28
15849_5,0.38
22338_0,0.65
10143_0,0.29
16629_1,0.08
24144_1,0.38
11022_0,0.19
22975_0,0.04
21172_0,0.63
16711_0,0.42
16203_33,0.1
26774_1,0.4
25876_0,0.53
26669_10,0.49
25040_0,0.38
10149_3,0.19
10898_0,0.71
19396_4,0.06
18202_72,0.23
19714_23,0.47
11303_0,0.59
16326_1,0.31
15351_0,0.46
10997_0,0.38
15415_7,0.57
26092_0,0.52
21931_2,0.31
9991_0,0.64
22399_1,0.64
19567_0,0.37
23344_0,0.49
10310_0,0.07
12677_0,0.41
11122_0,0.04
10072_0,0.58
27325_2,0.81
15161_17,0.21
27174_5,0.02
24389_0,0.15
10187_0,0.48
16456_2,0.05
17519_0,0.23
14433_4,0.76
26169_1,0.05
21886_3,0.1
12414_1,0.5
10188_0,0.46
11910_0,0.04
11084_1,0.12
10810_0,0.01
23618_0,0.34
26615_1,0.63
18872_11,0.06
14504_1,0.52
25162_0,0.15
23332_0,0.3
14534_2,0.16
27402_0,0.44
21599_9,0.75
12730_0,0.17
15080_0,0.53
21897_3,0.62
20400_0,0.49
10072_6,0.58
27596_34,0.6
10226_1,0.61
26669_19,0.43
13390_2,0.57
19989_1,0.46
10021_2,0.25
14151_7,0.39
698_1,0.1
314_0,0.01
14470_1,0.47
10523_0,0.09
18317_0,0.37
10400_5,0.04
17237_0,0.5
13386_1,0.37
26118_1,0.61
15200_0,0.05
19764_1,0.59
13860_1,0.06
27037_3,0.37
20092_0,0.7
23450_0,0.2
25750_0,0.55
10274_0,0.19
17024_0,0.3
12746_1,0.55
19630_1,0.17
12213_0,0.3
15969_2,0.28
10365_0,0.2
13487_1,0.0
10701_21,0.23
17144_2,0.55
20647_0,0.53
22871_2,0.51
23002_0,0.28
11297_11,0.03
23356_6,0.57
21804_2,0.25
13356_23,0.67
18202_110,0.16
577_4,0.31
585_2,0.09
14504_0,0.56
26669_45,0.47
10797_1,0.49
15096_0,0.56
17262_0,0.62
19714_10,0.52
11382_1,0.52
10280_0,0.26
18098_1,0.5
25817_2,0.34
594_0,0.26
23645_0,0.33
10512_5,0.31
12202_0,0.64
16659_7,0.61
17580_2,0.05
18863_0,0.33
2250_1,0.07
12708_0,0.09
14781_0,0.48
28000_19,0.24
10017_0,0.17
20287_0,0.07
9942_0,0.02
15859_0,0.08
22208_1,0.02
13444_3,0.4
23786_0,0.56
10000_2,0.22
19714_19,0.61
10679_1,0.64
18638_13,0.35
10241_2,0.07
16364_0,0.09
26818_0,0.31
10888_0,0.45
16362_0,0.02
15654_0,0.68
27305_1,0.25
21294_1,0.61
13942_3,0.19
2207_2,0.1
22978_1,0.26
20987_3,0.0
14787_1,0.57
10291_0,0.56
12379_0,0.46
28000_17,0.24
14604_1,0.5
27305_0,0.36
17390_0,0.68
25862_0,0.19
19258_0,0.11
9951_0,0.33
19175_0,0.37
22403_0,0.24
10091_2,0.6
15161_12,0.44
13722_2,0.16
21120_0,0.71
20429_5,0.0
25624_1,0.08
13972_0,0.21
25829_11,0.49
12028_0,0.03
2196_0,0.64
15675_0,0.3
12093_8,0.08
12156_1,0.01
14483_0,0.7
11112_9,0.12
16439_1,0.59
10464_1,0.39
12786_9,0.08
16203_6,0.15
28061_0,0.45
12400_0,0.18
19544_1,0.49
17674_3,0.61
19293_1,0.4
21603_3,0.57
14422_2,0.65
399_0,0.38
26063_0,0.2
14082_2,0.36
22449_2,0.51
16659_2,0.74
21230_0,0.1
17390_2,0.25
9931_1,0.33
25442_0,0.31
10045_1,0.56
12193_0,0.15
16392_2,0.14
14616_7,0.46
27509_1,0.77
10151_1,0.2
25442_3,0.44
16848_0,0.58
21594_1,0.38
26988_20,0.45
10079_1,0.09
27556_0,0.15
18062_6,0.3
15415_1,0.33
16449_0,0.4
12265_0,0.67
13302_0,0.02
23859_1,0.07
13805_2,0.07
19185_0,0.43
28000_12,0.09
13775_0,0.05
23922_0,0.01
28000_15,0.62
